Model_Prediction,Matched_Idiom,Similarity_Score
겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,0.9811320754716981
엎드러지면 코 닿을 데에 있어요,엎드러지면 코 닿을 데,0.8275862068965517
혀 내둘리다,혀가 내둘리다,0.9230769230769231
잔치날에 큰상 받다,잔치날에 큰상 받는 기분,0.782608695652174
화가 머리끝까지 나다,화가 머리끝까지 나다,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
두 눈이 꿀단지 같다,두 눈이 꿀단지 같다,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
삼대 구 년 만에 고향을 찾았다.,삼대 구 년 만에,0.6666666666666666
무릎 꿇다,무릎 꿇다,1.0
삼대 구 년 만에,삼대 구 년 만에,1.0
삼대 구 년 만에,삼대 구 년 만에,1.0
겉보리 돈 사기 수양딸로 며느리 삼기보다 쉬다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,0.9230769230769231
주먹으로 물 찧기,주먹으로 물 찧기,1.0
골 올라 문을 쾅 닫다,콩밥 맛을 보다,0.4
잔치날에 큰상 받다,잔치날에 큰상 받는 기분,0.782608695652174
혼뜨검 만나다,혼뜨검 만나다,1.0
닭 쫓던 개 울타리 넘겨다보듯,닭 쫓던 개 울타리 넘겨다보듯,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
급히 먹는 밥이 목이 멘다.,급히 먹는 밥이 목이 멘다,0.9655172413793104
이 갈리다,이 갈리다,1.0
얼음판에 서다,뒤웅박 신고 얼음판에 선 것 같다,0.48
고슴도치 외 따 지듯 빚을 지다.,고슴도치 외 따 지듯,0.7586206896551724
쓸 줄 모르는 것이 책부터 나무란다.,쓸 줄 모르는 것이 책부터 나무란다,0.9743589743589743
한 줌 재가 되다,한 줌 재가 되다,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
꼬리표가 붙다,꼬리표 붙다,0.9230769230769231
날 잡다,날 잡다,1.0
잔치날에 큰상 받다,잔치날에 큰상 받는 기분,0.782608695652174
엎친 데 덮치다,엎친 데 덮치다,1.0
속이 터져서 견디다,입이 가로 터지다,0.42105263157894735
입이 가로 터지다,입이 가로 터지다,1.0
한 줌 재가 되었다.,한 줌 재가 되다,0.9
뒤웅박 신고 얼음판에 서다,뒤웅박 신고 얼음판에 선 것 같다,0.8125
간이 오그라들다,간이 오그라들다,1.0
검은 머리 파 뿌리 되다,검은 머리 파 뿌리 되도록,0.8888888888888888
무릎 꿇다,무릎 꿇다,1.0
간이 오그라들다,간이 오그라들다,1.0
한 줌 재가 되다,한 줌 재가 되다,1.0
발 뻗고 자다,발 뻗고 자다,1.0
이 갈리다,이 갈리다,1.0
밤이슬 맞다,밤이슬 맞는 놈,0.7142857142857143
눈뿌리가 뜨거워지다,눈뿌리가 뜨겁다,0.7777777777777778
산책도 할 겸 운동도 할 겸 밖으로 나갔다.,굿도 볼 겸 떡도 먹을 겸,0.47368421052631576
무릎 꿇다,무릎 꿇다,1.0
할 수 있는 대로,될 수 있는 대로,0.8888888888888888
콩밥 맛 보다,콩밥 맛을 보다,0.9333333333333333
입이 가로 터지다,입이 가로 터지다,1.0
