Sentence,Label,Model_Prediction
아이들에게 자전거 배우기는 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"detect idiom: 겉보리 돈 사기
 rewritten sentence: 아이들에게 자전거 배우기는 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다."
도서관은 우리 집에서 엎드러지면 코 닿을 데에 있어요.,엎드러지면 코 닿을 데,"엎드러지면 코 닿을 데
도서관은 우리 집에서 X 코 닿을 데에 있어요."
그의 깜짝 선물에 모두 혀가 내둘렸다.,혀가 내둘리다,"Detected idiom: 혀가 내둘리다
 Rewritten sentence: 그의 깜짝 선물에 모두 X했다."
그는 상을 받아 잔치날에 큰상 받는 기분이었다.,잔치날에 큰상 받는 기분,"Detected idiom: 큰상 받다
 Rewritten sentence: ""그는 상을 받아 잔치날에 X 기분이었다."""
그는 친구의 배신에 화가 머리끝까지 났다.,화가 머리끝까지 나다,"Detected idiom: 화가 머리끝까지 나다
 Rewritten sentence: ""그는 친구의 배신에 화가 머리끝까지 X."""
수백 년 된 나무가 한 줌 재가 되었다.,한 줌 재가 되다,"idion: 한 줌 재
rewritten sentence: 수백 년 된 나무가 X가 되었다."
그는 놀라운 광경에 두 눈이 꿀단지 같아졌다.,두 눈이 꿀단지 같다,"detect idiom: 두 눈이 꿀단지 같아지다
rewritten sentence: 그는 놀라운 광경에 두 눈이 X했다."
영화의 주인공이 한 줌 재가 되었다.,한 줌 재가 되다,"한 줌 재가 되다
영화의 주인공이 한 줌 재가 되었다. -> 영화의 주인공이 X."
삼대 구 년 만에 고향을 찾았다.,삼대 구 년 만에,"Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is"
그는 끝까지 무릎 꿇지 않았다.,무릎 꿇다,"Detect only the idiom and rewrite the sentence if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite"
그 가수가 삼대 구 년 만에 새 앨범을 발표했다.,삼대 구 년 만에,"idion: 삼대 구 년
rewritten sentence: ""그 가수가 X 만에 새 앨범을 발표했다."""
우리는 삼대 구 년 만에 만나 즐겁게 대화했다.,삼대 구 년 만에,"Detected idiom: 삼대 구 년
 Rewritten sentence: ""우리는 X 만에 만나 즐겁게 대화했다."""
이 문제는 그에게 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉬운 일이다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"detect idiom: 겉보리 돈 사기
 rewritten sentence: 이 문제는 그에게 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉬운 일이다."
이 요리는 주먹으로 물 찧기예요.,주먹으로 물 찧기,"Detected idiom: 주먹으로 물 찧기
 Rewritten sentence: 이 요리는 X예요."
그는 골 올라 문을 쾅 닫았다.,골 오르다,"Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an idiom. If there are no idioms, answer 'none.' Detect only the idiom and rewrite the sentence with ""X"" if there is an"
그녀는 상을 받고 잔치날에 큰상 받는 기분이었다.,잔치날에 큰상 받는 기분,"Detected idiom: 잔치날에 큰상 받다
 Rewritten sentence: ""그녀는 상을 받고 X 기분이었다."""
