Sentence,Label,Model_Prediction
Learning to ride a bike is a piece of cake for most kids.,a piece of cake,a piece of cake
The library is just a stone's throw from my apartment.,a stone's throw,a stone's throw
"When he proposed, she was at a loss for words.",at a loss for words,at a loss for words
"After hearing the good news, she's been on cloud nine all day.",be on cloud nine,on cloud nine
"If you break the vase, Mom will blow her top.",blow your top,blow her top
The old tree breathed its last after standing for centuries.,breathe one's last,breathe one's last
They were bug-eyed when they saw the surprise party.,bug-eyed,bug-eyed
The character buys the farm at the end of the movie.,buy the farm,"buy the farm

The idiom ""buy the farm"" is detected in the given sentence, which means to die."
It's been a coon's age since I last visited my hometown.,coon's age,a coon's age
"No matter how hard they pushed, he wouldn't cry uncle.",cry uncle,cry uncle
That singer hasn't released an album in a dog's age.,dog's age,a dog's age
We've been waiting donkey's years for this moment.,donkey's years,donkey's years
"For a seasoned programmer, coding this app is duck soup.",duck soup,duck soup
Baking cookies is easy-peasy with this recipe.,easy-peasy,easy-peasy
She quit her job in a fit of anger.,fit of anger,in a fit of anger
He walked in full of the joys of spring after his vacation.,full of the joys of spring,full of the joys of spring
"If you're late again, you'll get it in the neck from the boss.",get it in the neck,get it in the neck
Their plans went down the pan due to unexpected costs.,go down the pan,go down the pan
Soldiers feared they might go home in a box during the war.,go home in a box,go home in a box
The legendary explorer went west during his final journey.,go west,"none

The sentence ""The legendary explorer went west during his final journey."" does not contain any idioms."
Take your time fixing it; haste makes waste.,haste makes waste,haste makes waste
The coach hit the ceiling when the team lost.,hit the ceiling,hit the ceiling
Investors hit the panic button after the sudden market drop.,hit the panic button,hit the panic button
"After the holiday shopping, I'm really in the hole.",in the hole,in the hole
"He complained about the slow computer, but a bad workman blames his tools.",A bad workman blames his tools,a bad workman blames his tools
The novel's main character kicks the bucket unexpectedly.,kick the bucket,kick the bucket
The adventurer met his death in the icy mountains.,meet one's death,"none

The given sentence does not contain any idioms. If you'd like to process another sentence, feel free to ask!"
"After the incident, his name is mud around here.",name is mud,be mud
They've decided to name the day for their grand opening.,name the day,name the day
Winning the championship left them on top of the world.,on top of the world,on top of the world
"Leaving one bad situation, he jumped out of the frying pan into the fire.",out of the frying pan into the fire,jumped out of the frying pan into the fire
The joke went over his head entirely.,go over one's head,go over one's head
She was over the moon with her exam results.,over the moon,over the moon
A respected community leader passed away yesterday.,pass away,passed away
Don't press the panic button; we have a backup plan.,press the panic button,press the panic button
The students quaked in their boots during the tough exam.,quake in one's boots,quaked in their boots
She continued painting into her ripe old age.,ripe old age,ripe old age
"No matter how hard they tried, she wouldn't say uncle.",say uncle,say uncle
He was shaking in his boots before the job interview.,shake in one's boots,shaking in his boots
The poet wrote about shuffling off this mortal coil peacefully.,shuffle off this mortal coil,shuffling off this mortal coil
"After working all day, I slept like a log.",sleep like a log,slept like a log
She was spitting blood over the unfair decision.,spit blood,spitting blood
There are tea leaves targeting tourists in that area.,tea leaf,take the leaf out of someone's book
The documentary was so tear-jerking that many viewers cried.,tear-jerking,tear-jerking
"By working part-time, she gets the best of both worlds—career and family time.",the best of both worlds,get the best of both worlds
"After years of trying, he didn't want to throw in the towel just yet.",throw in the towel,throw in the towel
They tested the new product to the nth degree before release.,to the nth degree,to the nth degree
He ended up up the river for his crimes.,up the river,up the river
She was walking on air after receiving the scholarship.,walking on air,walking on air
