Sentence,Label,Model_Prediction,ans
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,겉보리 돈 사기,x
 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,엎드러지면 코 닿을 데,코 닿을 거리,x
 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,혀가 내둘리다,혀가 내둘리다,o
 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받은 기분,o
 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,화가 머리끝까지 나다,화가 머리끝까지 나다,o
 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,한 줌 재가 되다,한 줌 재가 되다,o
 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,두 눈이 꿀단지 같다,눈이 꿀단지 같다,o
 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,한 줌 재가 되다,한 줌의 재,o
 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,삼대 구 년 만에,삼대구년,o
 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,무릎 꿇다,무릎 꿇다,o
 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,삼대 구 년 만에,삼대 구 년,o
 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,삼대 구 년 만에,삼대 구 년,o
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,겉보리 돈 사기,x
 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,주먹으로 물 찧기,주먹으로 물 찧다,o
 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.,골 오르다,골 올리다,o
 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받다,o
 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.,혼뜨검 만나다,제대로 혼나다,x
 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.,닭 쫓던 개 울타리 넘겨다보듯,닭 쫓던 개 울타리 넘어가다,o
