lan,text
en,You'll be picking fruit and generally helping us do all the usual farm work.
en,"In the Middle Ages, cities were not very clean, and the streets were filled with garbage."
en,"Do you know what the cow answered?"" said the minister."
en,Poland and Italy may seem like very different countries.
en,Mr. Smith and I stayed the whole day in Oxford.
en,The sight of a red traffic signal gave him an idea.
en,So they used pumpkins instead.
en,"I'm especially interested in learning, horse-riding skills, so I hope you'll include information about this."
en,"Instead, the devil gave him a single candle to light his way through the darkness."
en,It shines over the sea.
en,"He, too, was arrested, and a bomb was thrown at his house."
en,It seems that the high temperature and pressure on the star made its carbon surface turn to diamond.
en,"""The pig was unpopular while the cow was loved by everyone."
en,Books give a lot of things to us.
en,Jimmy and Timmy were identical twins.
en,It is a chemical that cause cancer.
en,Ziege from Germany and Brazilian superstars Ronaldo and Roberto Carlos belonged to the bald club.
en,Now the Taliban are gone and things have begun to change.
en,"Is your skin clear, smooth, and shining with health?"
en,The new law said that blacks were free to sit anywhere on Montgomery's buses.
en,"Then when it is full of money, I can buy a new computer!""."
en,Believers in aliens' visits argue that there is historical evidence to support their belief.
en,Two hikers were walking through the woods when they met a big bear.
en,To do that you must have friends.
en,The Seoul Grand Park is located in Kwach'ǒn just out of Seoul.
en,Many people who live in Seoul visit the Seoul Grand Park on weekends.
en,"Dear Mr. Jones,"
en,It is a very important builing.
en,Did you know that many discoveries have come from dreams?
en,The two men on either side were acting as if they were actually fishing.
en,"They could take control of missile bases and airports, or break into satellite systems."
en,Today we see women wearing them in countries all around the world.
en,"Some years later, the real murderer was discovered."
en,Many of the world's priceless artworks have been damaged or destroyed by warfare.
en,"In Vermont, someone had to walk with a red flag to warn that a car was coming."
en,So small talk helps people decide if they want to get to know each other better.
en,"""How did you manage to become so rich without e-mail and e-commerce?"
en,"When you look in the mirror, what do you see?"
en,One group thought of a relaxing scene like a blue sky or a beach.
en,This method is called *acupuncture.
en,Strong believers may not even swallow their own saliva.
en,Wild animals go to sleep and stay asleep all winter.
en,It's not strange that a 13-year-old child has them.
en,"The invention became a big hit, but it could not be widely used."
en,"Now, an acrobat is walking on a rope."
en,The Reason Why Acupuncture Costs Much Money
en,Each hand has five fingers at the end of it.
en,"Usually, Koreans should listen to the speaker through to the end to find the point."
en,"It has been called ""the ashes of death"" since it is mainly produced when garbage is burned."
en,"Next comes the ""horror"" stage."
en,He hurried to the bus stop.
en,"I'm going to study in ten minutes, Mom."
en,"According to the folk tale, a man named Jack tricked the devil into climbing a tree."
en,"Friday has also long been considered unlucky, perhaps because Christ died on Friday."
en,I insisted he take a hearing test.
en,"As a speaker of these three foreign languages, you can speak to yourself in them."
en,She could not speak.
en,"Learning a foreign language is not only fun, but it is learning to understand its speakers, too."
en,"Fifty years ago, most Americans lived in small communities."
en,She learned to eat and walk like a wolf.
en,"Is there no room left for fairy tales, myths, and legends?"
en,"We must stay at home till mother will home."""
en,Inca doctors chewed leaves of the coca plant while they worked.
en,She needs only to finish what she is able to do.
en,"More than two hundred years ago, the writer Jonathan Swift lived near a rich old lady's house."
en,"Almost every time he is at bat, he hits a home run."
en,They didn't exist thousands of years ago.
en,My uncle went to the hospital to see the doctor.
en,"Nowadays, in fact, it is more important than ever."
en,This morning Nam-su had an English calss.
en,"In every school there is a ""top"" crowd that sets the pace, while the others follow their lead."
en,People bought so much Vitamin C that it soon became hard to find.
en,Now this change is taking place in the Bible as well.
en,"One day when Swift was busy with his writing, the boy ran into his room."
en,"In fact, coca has been used for many centuries to kill pain."
en,They are playing with a ball.
en,Just imagine!
en,I'm a famous actress-a superstar!
en,Coyotes also like to kill calves and lambs on people's farms.
en,But sometimes it does not look like the same language.
en,Our money troubles are over!
en,A baby lived with wolves in India.
en,The minister answered by telling a story about a pig and a cow.
en,"However, there is another type of terrorism that we need to worry about - cyber terrorism."
en,"In the last three years, around 90 people in the U.S. have been frozen."
en,"Julia said, ""I remember that he was short, and he had black curly hair."
en,Then he eats it all by himself.
en,"While a man was planting the first grapevine ever, the devil came and asked him what he was doing."
en,"I have a number of books to read, but I have no time to read them."
en,Korean newspapers often carry ads for new and revolutionary methods of learning English.
en,"First, so many people in India speak English, which is the main language used on the Internet."
en,But this is very interesting.
en,"The doctor answered, ""You're not drinking enough water."""
en,"For Muslims, Ramadan is much more than a yearly custom."
en,"I would say, ""Lunch is ready,"" and he would yell, ""What?"""
en,"At the same time you can compare our way of thinking with the foreign peoples' ways of thinking, too."
en,It's the world's most famous drink and one of the symbols of America.
en,The parks are beautiful.
en,"He will meet Su-mi's parents, and friends."
en,"Now, it's the lion's turn."
en,They do it to mark off their area and to invite female birds to mate.
en,"If I pick the shirt, then the pants are my opportunity cost."
en,One is that the idea goes back to the Last Supper.
en,"The boss replied, ""Really?"""
en,These gave their owners the look of a highly educated person.
en,This shows there are serious problems in the environment.
en,Today many kinds of international games are played all over the world.
en,It could hurt his legs when landing.
en,Bad weather in Florida means fewer oranges. And that means more expensive orange juice!
en,Henry Augustus Rowland was an American scientist who was famous for his modesty.
en,The rocket backpack is something most of us imagined once or twice when we were young.
en,It's a nice city.
en,Most of the frozen people were suffering from incurable diseases when they died.
en,"With only $10 in his wallet, the man didn't know what to do."
en,She hates to do that.
en,"Not all plants have big, beautiful flowers, but all flowers have the same job."
en,"They were shot by her son in the field this morning."""
en,We will have flowers. The trees will become green again.
en,This shows that even the Bible cannot go against the general trend toward the equality of the sexes.
en,My family will spend more time outdoors.
en,A policeman stopped when he saw what was going on.
en,In this world you will have to make your own way.
en,He had difficulty reading when young.
en,But they are alive.
en,You begin to complain about the life and values of the people.
en,"And he would respond by yelling, ""DON'T SCREAM AT ME!"""
en,"When I got married, I quit smoking and took up running."
en,Sometimes the patients were able to walk out of the hospital right after the operations.
en,She worked on a farm.
en,The next morning the alarm rang and woke the student.
en,"When the man replied that he didn't use e-mail or the Internet, the banker was very surprised."
en,And the public will react variously to the news.
en,John couldn't do his homework because he had to visit his grandmother in the hospital.
en,"In parts of China, groundwater levels are falling by as much as one meter per year."
en,Some workers like it because their working hours become more flexible.
en,They can go inside things.
en,"Suddenly, taking Vitamin C became a craze."
en,"One day Ned heard some girls saying, ""We don't like to sit near Ben."""
en,He carries a dictionary with him and tries to learn new words every day.
en,I just wanted you to know how proud I am of Bobby.
en,"Then you will be able to choose the colors, shapes and other design features that you want."
en,She was arrested by the police.
